date,day_of_week,is_weekend,is_holiday,season,temperature,rain,local_event,past_demand_1day,past_demand_7day,target_demand
2000-01-01,Saturday,1,1,Winter,4.1,0,0,95,90,92
2000-01-02,Sunday,1,0,Winter,0.1,1,0,92,92,77
2000-01-03,Monday,0,0,Winter,5.6,0,0,77,88,67
2000-01-04,Tuesday,0,0,Winter,6.2,1,0,67,94,79
2000-01-05,Wednesday,0,0,Winter,-2.5,1,0,79,100,77
2000-01-06,Thursday,0,0,Winter,-0.5,1,0,77,120,72
2000-01-07,Friday,0,0,Winter,3.9,0,0,72,112,80
2000-01-08,Saturday,1,0,Winter,2.6,0,0,80,92,74
2000-01-09,Sunday,1,0,Winter,3.6,1,0,74,77,70
2000-01-10,Monday,0,0,Winter,1.1,0,0,70,67,70
2000-01-11,Tuesday,0,0,Winter,6.4,0,0,70,79,63
2000-01-12,Wednesday,0,0,Winter,6.1,1,0,63,77,57
2000-01-13,Thursday,0,0,Winter,4.1,1,0,57,72,60
2000-01-14,Friday,0,0,Winter,7.3,1,0,60,80,54
2000-01-15,Saturday,1,0,Winter,5.4,0,0,54,74,76
2000-01-16,Sunday,1,0,Winter,1.5,0,0,76,70,80
2000-01-17,Monday,0,0,Winter,5.3,1,0,80,70,75
2000-01-18,Tuesday,0,0,Winter,1.4,0,0,75,63,68
2000-01-19,Wednesday,0,0,Winter,7.0,0,0,68,57,59
2000-01-20,Thursday,0,0,Winter,4.3,0,0,59,60,54
2000-01-21,Friday,0,0,Winter,4.0,1,0,54,54,62
2000-01-22,Saturday,1,0,Winter,2.6,0,0,62,76,79
2000-01-23,Sunday,1,0,Winter,8.4,1,0,79,80,71
2000-01-24,Monday,0,0,Winter,4.3,0,0,71,75,59
2000-01-25,Tuesday,0,0,Winter,3.6,0,0,59,68,61
2000-01-26,Wednesday,0,0,Winter,3.9,1,0,61,59,59
2000-01-27,Thursday,0,0,Winter,6.7,1,0,59,54,65
2000-01-28,Friday,0,0,Winter,6.3,1,0,65,62,71
2000-01-29,Saturday,1,0,Winter,6.5,1,0,71,79,77
2000-01-30,Sunday,1,0,Winter,6.7,0,0,77,71,85
2000-01-31,Monday,0,0,Winter,12.0,0,0,85,59,71
2000-02-01,Tuesday,0,0,Winter,4.4,0,0,71,61,63
2000-02-02,Wednesday,0,0,Winter,4.2,0,0,63,59,68
2000-02-03,Thursday,0,0,Winter,3.4,1,0,68,65,71
2000-02-04,Friday,0,0,Winter,7.9,1,0,71,71,79
2000-02-05,Saturday,1,0,Winter,9.5,0,0,79,77,84
2000-02-06,Sunday,1,0,Winter,5.9,0,1,84,85,93
2000-02-07,Monday,0,0,Winter,3.9,1,0,93,71,67
2000-02-08,Tuesday,0,0,Winter,4.0,1,0,67,63,67
2000-02-09,Wednesday,0,0,Winter,8.6,0,0,67,68,64
2000-02-10,Thursday,0,0,Winter,9.0,0,1,64,71,64
2000-02-11,Friday,0,0,Winter,8.5,0,0,64,79,72
2000-02-12,Saturday,1,0,Winter,5.1,0,0,72,84,76
2000-02-13,Sunday,1,0,Winter,7.9,0,0,76,93,65
2000-02-14,Monday,0,0,Winter,7.7,0,0,65,67,61
2000-02-15,Tuesday,0,0,Winter,8.1,0,0,61,67,69
2000-02-16,Wednesday,0,0,Winter,10.2,0,0,69,64,72
2000-02-17,Thursday,0,0,Winter,8.4,0,0,72,64,74
2000-02-18,Friday,0,0,Winter,10.0,0,0,74,72,88
2000-02-19,Saturday,1,0,Winter,8.3,0,0,88,76,84
2000-02-20,Sunday,1,0,Winter,9.1,1,0,84,65,69
2000-02-21,Monday,0,0,Winter,10.3,1,0,69,61,66
2000-02-22,Tuesday,0,0,Winter,4.1,0,0,66,69,68
2000-02-23,Wednesday,0,0,Winter,7.7,0,0,68,72,61
2000-02-24,Thursday,0,0,Winter,7.4,1,0,61,74,64
2000-02-25,Friday,0,0,Winter,7.1,0,0,64,88,81
2000-02-26,Saturday,1,0,Winter,8.3,1,0,81,84,86
2000-02-27,Sunday,1,0,Winter,13.8,1,0,86,69,87
2000-02-28,Monday,0,0,Winter,6.9,0,0,87,66,69
2000-02-29,Tuesday,0,0,Winter,12.5,0,0,69,68,60
2000-03-01,Wednesday,0,0,Spring,4.7,0,0,60,61,58
2000-03-02,Thursday,0,0,Spring,8.9,0,0,58,64,74
2000-03-03,Friday,0,0,Spring,10.6,0,0,74,81,91
2000-03-04,Saturday,1,0,Spring,12.0,0,0,91,86,96
2000-03-05,Sunday,1,0,Spring,12.6,0,0,96,87,107
2000-03-06,Monday,0,0,Spring,13.0,1,0,107,69,85
2000-03-07,Tuesday,0,0,Spring,9.7,0,0,85,60,73
2000-03-08,Wednesday,0,0,Spring,9.6,0,0,73,58,61
2000-03-09,Thursday,0,0,Spring,13.7,1,0,61,74,71
2000-03-10,Friday,0,0,Spring,10.7,1,0,71,91,89
2000-03-11,Saturday,1,0,Spring,7.6,0,0,89,96,106
2000-03-12,Sunday,1,0,Spring,8.2,1,0,106,107,109
2000-03-13,Monday,0,0,Spring,9.0,1,0,109,85,93
2000-03-14,Tuesday,0,0,Spring,13.5,0,0,93,73,96
2000-03-15,Wednesday,0,0,Spring,12.6,0,0,96,61,77
2000-03-16,Thursday,0,0,Spring,14.4,0,1,77,71,97
2000-03-17,Friday,0,0,Spring,11.2,0,0,97,89,98
2000-03-18,Saturday,1,0,Spring,13.1,1,0,98,106,104
2000-03-19,Sunday,1,0,Spring,14.7,0,0,104,109,97
2000-03-20,Monday,0,0,Spring,12.1,0,1,97,93,101
2000-03-21,Tuesday,0,0,Spring,14.5,0,1,101,96,111
2000-03-22,Wednesday,0,0,Spring,11.4,1,1,111,77,84
2000-03-23,Thursday,0,0,Spring,12.4,0,0,84,97,96
2000-03-24,Friday,0,0,Spring,12.5,0,1,96,98,91
2000-03-25,Saturday,1,0,Spring,10.3,0,0,91,104,91
2000-03-26,Sunday,1,0,Spring,15.5,1,0,91,97,94
2000-03-27,Monday,0,0,Spring,12.8,0,0,94,101,103
2000-03-28,Tuesday,0,0,Spring,14.4,0,0,103,111,100
2000-03-29,Wednesday,0,0,Spring,16.0,0,0,100,84,97
2000-03-30,Thursday,0,0,Spring,16.1,0,0,97,96,91
2000-03-31,Friday,0,0,Spring,16.9,0,0,91,91,95
2000-04-01,Saturday,1,0,Spring,14.8,0,0,95,91,101
2000-04-02,Sunday,1,0,Spring,13.9,1,0,101,94,109
2000-04-03,Monday,0,0,Spring,15.1,0,0,109,103,95
2000-04-04,Tuesday,0,0,Spring,10.5,0,0,95,100,88
2000-04-05,Wednesday,0,0,Spring,11.4,0,0,88,97,97
2000-04-06,Thursday,0,0,Spring,11.9,0,0,97,91,93
2000-04-07,Friday,0,0,Spring,13.1,0,0,93,95,98
2000-04-08,Saturday,1,0,Spring,17.4,0,1,98,101,117
2000-04-09,Sunday,1,0,Spring,13.7,0,0,117,109,108
2000-04-10,Monday,0,0,Spring,15.4,0,0,108,95,83
2000-04-11,Tuesday,0,0,Spring,20.6,1,0,83,88,92
2000-04-12,Wednesday,0,0,Spring,15.8,0,0,92,97,94
2000-04-13,Thursday,0,0,Spring,19.2,0,0,94,93,88
2000-04-14,Friday,0,0,Spring,14.4,1,0,88,98,98
2000-04-15,Saturday,1,0,Spring,16.7,0,1,98,117,132
2000-04-16,Sunday,1,0,Spring,14.6,1,0,132,108,125
2000-04-17,Monday,0,0,Spring,16.6,0,1,125,83,125
2000-04-18,Tuesday,0,0,Spring,20.3,0,0,125,92,99
2000-04-19,Wednesday,0,0,Spring,12.8,1,0,99,94,93
2000-04-20,Thursday,0,0,Spring,19.4,0,0,93,88,98
2000-04-21,Friday,0,0,Spring,18.9,1,0,98,98,99
2000-04-22,Saturday,1,0,Spring,16.6,0,0,99,132,113
2000-04-23,Sunday,1,0,Spring,14.2,0,0,113,125,95
2000-04-24,Monday,0,0,Spring,18.9,0,0,95,125,114
2000-04-25,Tuesday,0,0,Spring,17.2,0,0,114,99,92
2000-04-26,Wednesday,0,0,Spring,19.6,0,0,92,93,100
2000-04-27,Thursday,0,0,Spring,19.1,1,0,100,98,98
2000-04-28,Friday,0,0,Spring,24.0,0,1,98,99,112
2000-04-29,Saturday,1,0,Spring,18.6,1,1,112,113,120
2000-04-30,Sunday,1,0,Spring,16.4,0,0,120,95,113
