date,day_of_week,season,temperature,rain,local_event,predicted_total_demand,dish1_sales_yesterday,dish2_sales_yesterday,dish3_sales_yesterday,dish1_probability,dish2_probability,dish3_probability
2020-01-01,Wednesday,Winter,20.0,1,0,87,34,22,14,0.533,0.226,0.241
2020-01-02,Thursday,Winter,12.7,0,1,125,33,20,9,0.511,0.294,0.195
2020-01-03,Friday,Winter,30.8,0,1,163,40,19,5,0.611,0.241,0.148
2020-01-04,Saturday,Winter,10.3,0,0,140,31,19,7,0.529,0.265,0.207
2020-01-05,Sunday,Winter,17.4,0,0,126,27,19,5,0.56,0.252,0.188
2020-01-06,Monday,Winter,4.9,0,0,90,25,24,5,0.471,0.315,0.215
2020-01-07,Tuesday,Winter,29.7,0,0,121,21,30,5,0.575,0.262,0.163
2020-01-08,Wednesday,Winter,9.6,0,0,95,18,25,5,0.476,0.313,0.211
2020-01-09,Thursday,Winter,9.0,0,0,90,20,28,5,0.471,0.322,0.206
2020-01-10,Friday,Winter,14.9,0,1,121,19,30,5,0.472,0.346,0.182
2020-01-11,Saturday,Winter,23.2,0,0,141,19,30,7,0.537,0.28,0.183
2020-01-12,Sunday,Winter,1.7,1,0,103,21,27,16,0.378,0.308,0.313
2020-01-13,Monday,Winter,22.4,0,0,114,15,24,20,0.508,0.254,0.238
2020-01-14,Tuesday,Winter,13.8,0,0,96,11,24,17,0.455,0.289,0.256
2020-01-15,Wednesday,Winter,10.4,0,0,105,9,17,20,0.435,0.275,0.291
2020-01-16,Thursday,Winter,18.2,0,1,133,12,20,17,0.467,0.299,0.233
2020-01-17,Friday,Winter,8.2,0,1,128,13,29,18,0.389,0.359,0.252
2020-01-18,Saturday,Winter,25.3,1,0,146,7,24,13,0.492,0.252,0.256
2020-01-19,Sunday,Winter,6.6,1,0,105,13,25,5,0.411,0.315,0.274
2020-01-20,Monday,Winter,10.2,0,0,93,19,27,5,0.478,0.316,0.206
2020-01-21,Tuesday,Winter,23.1,1,0,107,26,25,11,0.529,0.24,0.232
2020-01-22,Wednesday,Winter,18.6,1,0,80,14,21,14,0.479,0.25,0.271
2020-01-23,Thursday,Winter,14.6,0,0,116,22,14,11,0.53,0.242,0.228
2020-01-24,Friday,Winter,15.9,0,0,100,22,9,9,0.556,0.222,0.222
2020-01-25,Saturday,Winter,12.8,0,0,142,29,5,7,0.575,0.208,0.218
2020-01-26,Sunday,Winter,6.9,1,1,134,30,7,5,0.482,0.264,0.254
2020-01-27,Monday,Winter,24.2,1,0,99,29,5,6,0.597,0.174,0.229
2020-01-28,Tuesday,Winter,16.0,1,1,122,23,11,7,0.5,0.259,0.241
2020-01-29,Wednesday,Winter,8.0,0,0,87,28,8,5,0.543,0.237,0.221
2020-01-30,Thursday,Winter,18.0,0,0,108,23,11,5,0.574,0.227,0.198
2020-01-31,Friday,Winter,0.8,0,0,76,14,11,5,0.431,0.304,0.265
2020-02-01,Saturday,Winter,13.4,0,0,144,12,5,5,0.536,0.232,0.232
2020-02-02,Sunday,Winter,17.6,1,0,125,9,5,5,0.518,0.21,0.272
2020-02-03,Monday,Winter,-4.2,0,0,73,13,5,5,0.395,0.303,0.303
2020-02-04,Tuesday,Winter,15.6,0,0,127,10,5,5,0.543,0.228,0.228
2020-02-05,Wednesday,Winter,13.1,0,0,102,15,5,6,0.54,0.227,0.233
2020-02-06,Thursday,Winter,26.4,0,0,126,5,5,13,0.566,0.198,0.236
2020-02-07,Friday,Winter,29.0,0,0,108,5,5,14,0.576,0.191,0.233
2020-02-08,Saturday,Winter,5.1,0,0,121,12,11,8,0.451,0.284,0.266
2020-02-09,Sunday,Winter,-0.5,0,0,120,18,17,5,0.421,0.326,0.252
2020-02-10,Monday,Winter,5.8,1,0,83,18,19,5,0.436,0.287,0.277
2020-02-11,Tuesday,Winter,7.2,1,1,96,14,15,5,0.414,0.318,0.268
2020-02-12,Wednesday,Winter,23.1,1,0,81,19,14,7,0.546,0.216,0.238
2020-02-13,Thursday,Winter,-1.1,0,1,110,19,26,11,0.36,0.391,0.248
2020-02-14,Friday,Winter,17.6,0,0,113,18,24,7,0.521,0.279,0.2
2020-02-15,Saturday,Winter,20.2,1,0,132,13,18,11,0.498,0.24,0.262
2020-02-16,Sunday,Winter,8.2,0,1,164,8,21,8,0.406,0.363,0.231
